epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,476.38,0.60812,0.47201,0.95108,0.96398,0.85859,0.91852,0.65431,0.93179,0.57881,1.2904,0.0005348,0.0005348,0.0005348
76,479.79,0.55225,0.4257,0.95528,0.97722,0.86663,0.91705,0.65288,0.93113,0.57148,1.29625,0.000515,0.000515,0.000515
77,482.775,0.59214,0.46502,0.9865,0.96214,0.85859,0.91191,0.66083,0.9209,0.56116,1.28814,0.0004952,0.0004952,0.0004952
78,490.911,0.57637,0.46827,0.95183,0.95498,0.85707,0.89653,0.65975,0.90525,0.56709,1.26888,0.0004754,0.0004754,0.0004754
79,493.744,0.58096,0.45312,0.98038,0.95088,0.85859,0.89498,0.66509,0.89562,0.56638,1.26695,0.0004556,0.0004556,0.0004556
80,497.383,0.60504,0.45017,0.99316,0.96381,0.85859,0.89768,0.65998,0.90093,0.58512,1.26994,0.0004358,0.0004358,0.0004358
81,501.384,0.58624,0.45646,0.9818,0.93057,0.85859,0.9083,0.65519,0.9092,0.56965,1.26358,0.000416,0.000416,0.000416
82,504.253,0.58355,0.46866,0.98773,0.91696,0.86869,0.92082,0.65575,0.89838,0.55624,1.25349,0.0003962,0.0003962,0.0003962
83,507.561,0.59573,0.48352,1.00532,0.93231,0.84848,0.90359,0.66784,0.84793,0.54464,1.21595,0.0003764,0.0003764,0.0003764
84,511.567,0.54477,0.436,0.95244,0.93439,0.86321,0.90067,0.67416,0.81928,0.53494,1.18145,0.0003566,0.0003566,0.0003566
85,514.977,0.56404,0.43594,0.98209,0.92531,0.87603,0.90108,0.66688,0.82645,0.53723,1.18246,0.0003368,0.0003368,0.0003368
86,518.094,0.53223,0.40461,0.94761,0.95034,0.84848,0.90475,0.66133,0.8372,0.53235,1.1873,0.000317,0.000317,0.000317
87,521.01,0.55203,0.41456,0.97345,0.94385,0.87879,0.91287,0.66992,0.83075,0.53381,1.18168,0.0002972,0.0002972,0.0002972
88,524.801,0.54712,0.42233,0.97766,0.97113,0.86869,0.93624,0.68655,0.82548,0.52661,1.18533,0.0002774,0.0002774,0.0002774
89,528.977,0.54185,0.40416,0.95741,0.97171,0.85859,0.94306,0.69623,0.81831,0.51379,1.18103,0.0002576,0.0002576,0.0002576
90,532.292,0.53525,0.40384,0.94553,0.96603,0.86177,0.94056,0.69665,0.81879,0.50913,1.18204,0.0002378,0.0002378,0.0002378
91,536.807,0.50676,0.3557,0.91481,0.96584,0.85689,0.92797,0.69758,0.81522,0.50995,1.18806,0.000218,0.000218,0.000218
92,540.402,0.50111,0.35428,0.94205,0.96095,0.85859,0.92505,0.69952,0.81756,0.51626,1.19317,0.0001982,0.0001982,0.0001982
93,544.736,0.49884,0.35284,0.91461,0.96145,0.85859,0.9175,0.70247,0.82599,0.52816,1.19588,0.0001784,0.0001784,0.0001784
94,548.995,0.49069,0.35237,0.92039,0.95541,0.85859,0.91703,0.70338,0.83368,0.5357,1.21297,0.0001586,0.0001586,0.0001586
95,552.393,0.45429,0.33369,0.88836,0.95513,0.86869,0.91765,0.69757,0.83631,0.5511,1.21864,0.0001388,0.0001388,0.0001388
96,555.444,0.52196,0.38998,0.98079,0.94398,0.86869,0.91065,0.69525,0.84535,0.54539,1.22657,0.000119,0.000119,0.000119
97,558.926,0.47353,0.35244,0.93189,0.96568,0.85267,0.90785,0.68734,0.84387,0.54177,1.22315,9.92e-05,9.92e-05,9.92e-05
98,562.441,0.53123,0.36252,0.97312,0.96442,0.85859,0.90734,0.68166,0.85029,0.53893,1.22533,7.94e-05,7.94e-05,7.94e-05
99,566.219,0.49298,0.32785,0.92374,0.95035,0.85859,0.90714,0.68232,0.84176,0.53761,1.21433,5.96e-05,5.96e-05,5.96e-05
100,569.831,0.4975,0.35826,0.94729,0.9476,0.85859,0.905,0.68941,0.83705,0.52864,1.20845,3.98e-05,3.98e-05,3.98e-05
