epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,31976.9,1.37763,0.85554,1.04408,0.61098,0.40841,0.44044,0.24921,1.41207,0.87412,1.03277,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,32452.6,1.37326,0.84749,1.04147,0.60413,0.40459,0.43647,0.24976,1.41085,0.87567,1.03137,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,32928,1.36449,0.83979,1.0373,0.61256,0.42589,0.44247,0.25305,1.40995,0.8695,1.03015,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,33403.8,1.36598,0.8396,1.03545,0.60597,0.42345,0.44329,0.25421,1.40998,0.86919,1.0299,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,33880.1,1.37216,0.84246,1.03806,0.63726,0.40055,0.438,0.25185,1.41156,0.87449,1.0308,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,34355.6,1.36574,0.83927,1.03539,0.63674,0.40337,0.43905,0.25146,1.40986,0.87304,1.02913,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,34831.3,1.35993,0.83399,1.03437,0.6484,0.40553,0.44243,0.25383,1.4115,0.87244,1.02957,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,35306.7,1.35741,0.83091,1.03414,0.62838,0.41287,0.44542,0.25455,1.41131,0.87267,1.02892,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,35782.2,1.35924,0.83462,1.03368,0.65563,0.40659,0.44481,0.25218,1.41369,0.87385,1.0298,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,36260,1.35783,0.83295,1.03366,0.63958,0.40951,0.44515,0.25209,1.41152,0.87215,1.02884,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,36736.5,1.35438,0.82592,1.03159,0.60962,0.4187,0.44558,0.251,1.41142,0.87163,1.02832,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,37212.2,1.34774,0.81979,1.02931,0.61442,0.42032,0.44684,0.25094,1.41125,0.87014,1.02825,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,37691.4,1.34155,0.81725,1.02736,0.62608,0.41343,0.44902,0.25216,1.41064,0.86997,1.02785,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,38167.6,1.34538,0.82147,1.02824,0.65066,0.40093,0.44671,0.25109,1.41031,0.87099,1.02783,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,38644.7,1.34078,0.81517,1.02776,0.60373,0.41194,0.44554,0.2509,1.41103,0.87015,1.02813,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,39121.4,1.34087,0.81777,1.02796,0.59231,0.4134,0.44489,0.25287,1.4074,0.8689,1.02687,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,39597.2,1.33995,0.8142,1.02338,0.6044,0.41022,0.44641,0.25306,1.40594,0.86789,1.02672,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,40073.4,1.34169,0.81521,1.02368,0.61824,0.41202,0.44857,0.25381,1.40461,0.86683,1.0269,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,40549.1,1.33864,0.81344,1.02339,0.61482,0.41875,0.4486,0.25607,1.40437,0.86531,1.02616,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,41025.8,1.33709,0.80915,1.02332,0.59678,0.42689,0.45011,0.25537,1.40491,0.86404,1.02662,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,41503.4,1.33422,0.80971,1.0241,0.58429,0.42404,0.45098,0.25546,1.40521,0.86369,1.02681,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,41978.8,1.32694,0.80172,1.02206,0.61497,0.40525,0.45067,0.2547,1.40563,0.86312,1.026,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,42454.3,1.33145,0.80269,1.02162,0.66515,0.39543,0.45406,0.25516,1.40664,0.86274,1.02633,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,42930.1,1.32723,0.80037,1.02058,0.65993,0.39659,0.45281,0.25527,1.40704,0.8627,1.02645,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,43405.6,1.32959,0.80561,1.02245,0.63848,0.40319,0.4558,0.25656,1.40689,0.86209,1.02704,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,43881,1.32405,0.79449,1.01777,0.62793,0.4091,0.45279,0.25546,1.40708,0.86241,1.02705,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,44356.7,1.32036,0.7945,1.0182,0.57976,0.42635,0.45214,0.25484,1.40732,0.86309,1.02672,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,44832.5,1.32119,0.79602,1.01817,0.59469,0.41932,0.45116,0.25458,1.40868,0.86381,1.0276,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,45308.5,1.31828,0.79472,1.01644,0.59297,0.42213,0.4504,0.25467,1.40881,0.8637,1.02763,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,45786,1.31352,0.78897,1.01695,0.59344,0.42299,0.44923,0.25439,1.40831,0.86439,1.02731,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,46264.4,1.31541,0.79096,1.01533,0.58266,0.42896,0.45088,0.25475,1.40884,0.86465,1.02734,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,46740,1.30803,0.78324,1.01397,0.58559,0.42179,0.44987,0.25511,1.40795,0.86451,1.02692,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,47217.2,1.30927,0.78307,1.01221,0.5799,0.42462,0.44872,0.25506,1.40804,0.86423,1.02717,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,47692.7,1.30605,0.78214,1.01151,0.59956,0.41173,0.44855,0.25517,1.40793,0.86436,1.02706,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,48169,1.31155,0.78377,1.01276,0.57383,0.42279,0.44831,0.25503,1.40766,0.8638,1.02681,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,48644.4,1.308,0.78141,1.01132,0.5757,0.42513,0.44827,0.25545,1.40773,0.86298,1.02639,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
