epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
85,40407.2,1.15138,0.67311,0.95193,0.72083,0.57197,0.63278,0.39006,1.06884,0.62816,0.91138,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,40881.9,1.14989,0.66847,0.94916,0.71075,0.57828,0.63269,0.38968,1.06885,0.62802,0.9112,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,41356.4,1.14702,0.66783,0.9491,0.71903,0.57315,0.63356,0.39001,1.06792,0.62705,0.91104,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,41830.8,1.14207,0.66372,0.94835,0.71457,0.57673,0.63063,0.38978,1.0678,0.62661,0.9112,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,42305.2,1.1456,0.66693,0.9496,0.71545,0.57183,0.62714,0.38841,1.06738,0.62652,0.91099,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,42780,1.14002,0.66276,0.94923,0.7118,0.56979,0.6258,0.38742,1.06756,0.62576,0.91119,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,43254.5,1.14349,0.66733,0.94945,0.71237,0.56714,0.62574,0.38804,1.06746,0.62494,0.91123,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,43728.9,1.14035,0.6622,0.94727,0.7084,0.56618,0.62728,0.38886,1.06701,0.62475,0.91126,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,44203.5,1.13556,0.65936,0.94701,0.70495,0.56225,0.62416,0.3873,1.06777,0.62468,0.91146,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,44677.8,1.1381,0.6618,0.94695,0.72438,0.55119,0.62305,0.38682,1.06811,0.62417,0.91185,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,45152,1.13222,0.65545,0.94557,0.72756,0.55047,0.62148,0.3864,1.06714,0.62403,0.9117,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,45626.3,1.13168,0.65453,0.94663,0.73063,0.54768,0.62034,0.38614,1.06633,0.62469,0.9114,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,46100.5,1.13368,0.65764,0.9459,0.7304,0.54767,0.6189,0.38593,1.06693,0.6251,0.91155,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,46574.7,1.12731,0.65175,0.94295,0.74174,0.54151,0.61946,0.38646,1.06675,0.62469,0.91129,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,47049.1,1.1261,0.65103,0.94237,0.74899,0.54267,0.62043,0.38613,1.06633,0.62519,0.91127,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,47523.5,1.12809,0.64977,0.94298,0.75782,0.54353,0.62059,0.38495,1.06641,0.62489,0.91147,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,47998.1,1.12862,0.65125,0.94227,0.75441,0.54645,0.62088,0.38536,1.06658,0.62441,0.91133,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,48472.8,1.12619,0.65081,0.94303,0.75538,0.5462,0.62193,0.38617,1.06659,0.62396,0.91154,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,48947.3,1.1243,0.65071,0.94243,0.75335,0.54725,0.62302,0.3865,1.06617,0.62404,0.91134,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,49421.4,1.12138,0.64731,0.94231,0.76142,0.54498,0.62433,0.38766,1.06671,0.62404,0.91151,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,49895.4,1.12023,0.64529,0.94174,0.75395,0.54728,0.62358,0.38719,1.06701,0.62373,0.91171,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,50369.6,1.1165,0.64223,0.94158,0.76049,0.5466,0.62384,0.38765,1.06736,0.62403,0.91158,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,50843.7,1.11844,0.6447,0.94047,0.7561,0.54723,0.62256,0.38705,1.06723,0.62408,0.91152,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,51317.4,1.11276,0.64117,0.93857,0.74559,0.55251,0.62216,0.38649,1.06641,0.62422,0.91125,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,51791.5,1.11438,0.63862,0.93762,0.74122,0.55403,0.62151,0.38706,1.06613,0.62378,0.91131,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,52265.7,1.11554,0.64023,0.9401,0.74518,0.5492,0.61914,0.38695,1.06645,0.62353,0.9116,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,52739.7,1.11488,0.63953,0.93929,0.74017,0.55041,0.61835,0.38635,1.06642,0.6236,0.91143,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,53213.5,1.11089,0.63668,0.93719,0.74649,0.54457,0.62029,0.38661,1.06644,0.62367,0.91139,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,53687.5,1.11437,0.63833,0.93823,0.7558,0.54289,0.62024,0.38637,1.06684,0.62373,0.91161,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,54161.6,1.10641,0.63431,0.93631,0.76691,0.53977,0.62079,0.38638,1.06679,0.62363,0.9118,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,54635.7,1.1093,0.6358,0.93683,0.76036,0.54075,0.62117,0.38671,1.06691,0.6237,0.91184,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,55109.7,1.10439,0.63434,0.93566,0.75859,0.54193,0.62054,0.38652,1.06687,0.62375,0.91168,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,55583.8,1.10159,0.63008,0.93414,0.73993,0.55053,0.62173,0.38597,1.06701,0.62384,0.91168,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,56058.2,1.09652,0.62531,0.93323,0.73228,0.55443,0.62019,0.38541,1.06727,0.62354,0.91172,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,56532.3,1.1006,0.62915,0.93419,0.73696,0.55649,0.62089,0.38531,1.06726,0.62371,0.91176,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
